Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,sum(W),max(W),T,GCD,circ_size,num_wires_v2,depth,max_fan,total_fan,sum(W)/total_fan,max(W)/max_fan,(sum(W)) -(total_fan+num_wires)
1,406,1013,582,152,37,958,488,272,427,960,930,686,558,865,978,184,9496,1013,4747,1,4461,8923,228,12,102,93.098,84.417,471.000
2,868,836,131,416,460,725,875,89,818,256,529,12,985,384,108,50,7542,985,3770,1,3926,7853,222,10,88,85.705,98.500,-399.000
3,392,582,896,998,272,785,880,113,192,550,337,676,443,505,296,1009,8926,1009,4462,1,4187,8375,226,10,76,117.447,100.900,475.000
4,867,714,396,726,103,729,163,457,955,481,79,136,176,202,648,346,7178,955,3588,1,4287,8575,236,10,108,66.463,95.500,-1505.000
5,142,742,272,172,283,959,139,672,783,691,820,228,680,89,821,149,7642,959,3820,1,4256,8513,226,8,92,83.065,119.875,-963.000
6,760,189,389,855,834,755,629,1005,282,992,347,585,925,523,307,664,10041,1005,5020,1,4748,9497,226,10,100,100.410,100.500,444.000
7,53,269,824,500,349,650,629,299,688,444,888,471,149,667,136,969,7985,969,3992,1,4536,9073,230,10,108,73.935,96.900,-1196.000
8,779,714,197,31,215,203,387,301,329,910,342,962,712,51,448,961,7542,962,3770,1,4358,8717,232,8,90,83.800,120.250,-1265.000
9,680,419,785,787,429,713,135,440,196,15,667,368,381,834,901,136,7886,901,3942,1,4058,8117,224,10,100,78.860,90.100,-331.000
10,430,952,948,150,852,604,976,472,464,1010,527,857,595,232,49,320,9438,1010,4718,1,4553,9107,232,8,82,115.098,126.250,249.000
11,273,487,942,951,20,784,803,164,111,29,628,89,627,426,273,828,7435,951,3717,1,4462,8925,236,10,98,75.867,95.100,-1588.000
12,18,49,53,805,156,663,653,622,460,535,138,379,573,637,630,721,7092,805,3545,1,4456,8913,230,8,90,78.800,100.625,-1911.000
13,973,55,472,562,68,820,786,588,191,734,1023,198,347,595,108,496,8016,1023,4007,1,4694,9389,232,10,94,85.277,102.300,-1467.000
14,328,643,299,181,870,280,792,608,146,998,482,982,677,1022,837,23,9168,1022,4583,1,4441,8883,226,10,94,97.532,102.200,191.000
15,725,433,831,743,489,374,127,361,917,312,430,1018,60,384,820,883,8907,1018,4453,1,5192,10385,248,10,94,94.755,101.800,-1572.000
16,105,829,385,384,60,978,590,413,338,955,69,553,7,909,952,795,8322,978,4160,1,4312,8625,226,10,90,92.467,97.800,-393.000
17,154,114,983,123,198,6,168,120,725,13,1002,427,982,747,103,275,6140,1002,3069,1,4384,8769,236,10,92,66.739,100.200,-2721.000
18,977,607,421,149,357,242,20,190,555,534,708,956,645,328,792,490,7971,977,3985,1,4435,8871,224,10,102,78.147,97.700,-1002.000
19,15,701,469,255,735,488,609,607,616,751,373,235,921,892,792,392,8851,921,4425,1,5133,10267,240,8,92,96.207,115.125,-1508.000
20,125,380,701,660,669,62,1003,236,673,252,330,916,789,287,46,245,7374,1003,3686,1,5011,10023,240,10,88,83.795,100.300,-2737.000
