Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,sum(W),max(W),T,GCD,circ_size,num_wires_v2,depth,max_fan,total_fan,sum(W)/total_fan,max(W)/max_fan
1,243,14,133,12,60,76,198,85,87,241,193,15,220,99,94,110,1880,243,939,1,3268,6537,228,10,94,20.000,24.300
2,109,146,254,19,166,165,76,43,145,18,131,70,144,73,169,140,1868,254,933,1,2738,5477,220,8,78,23.949,31.750
3,36,79,9,85,63,140,13,24,128,26,98,125,74,74,237,246,1457,246,728,1,2866,5733,228,10,84,17.345,24.600
4,150,148,35,109,167,160,99,145,41,245,98,146,27,178,117,142,2007,245,1003,1,2995,5991,222,10,94,21.351,24.500
5,88,46,199,211,141,27,85,2,127,192,131,223,43,130,31,119,1795,223,897,1,3223,6447,236,8,86,20.872,27.875
6,107,148,174,194,56,249,105,223,234,139,197,123,235,169,11,254,2618,254,1308,1,3542,7085,230,10,92,28.457,25.400
7,23,195,233,77,155,242,32,132,95,200,239,161,144,184,3,5,2120,242,1059,1,2904,5809,222,8,76,27.895,30.250
8,105,246,156,159,7,38,108,196,93,182,66,69,78,244,57,87,1891,246,945,1,3292,6585,228,8,90,21.011,30.750
9,233,1,248,121,5,199,125,205,221,185,135,183,253,137,253,160,2664,253,1331,1,3598,7197,232,8,70,38.057,31.625
10,102,175,115,44,129,144,242,146,114,51,35,59,212,82,20,127,1797,242,898,1,3084,6169,236,12,84,21.393,20.167
11,168,36,202,252,59,164,59,244,188,1,109,16,254,228,66,198,2244,254,1121,1,3164,6329,224,8,72,31.167,31.750
12,205,28,222,3,88,107,115,188,95,4,220,245,192,187,3,49,1951,245,975,1,3167,6335,224,10,90,21.678,24.500
13,42,180,6,182,166,200,168,110,161,53,170,10,168,132,1,101,1850,200,924,1,2543,5087,216,8,80,23.125,25.000
14,99,203,148,217,206,187,200,133,60,187,114,183,90,184,134,202,2547,217,1273,1,3292,6585,226,8,88,28.943,27.125
15,6,63,180,7,3,241,115,157,61,30,109,253,209,23,183,55,1695,253,847,1,3521,7043,234,8,80,21.188,31.625
16,177,87,106,19,235,158,100,80,95,87,177,186,115,233,133,253,2241,253,1120,1,3439,6879,226,10,90,24.900,25.300
17,141,165,179,55,201,149,10,220,32,202,88,227,89,213,6,217,2194,227,1096,1,2983,5967,220,8,82,26.756,28.375
18,171,123,1,103,189,102,34,183,252,59,193,105,124,85,231,50,2005,252,1002,1,3385,6771,230,10,86,23.314,25.200
19,28,185,65,89,113,179,3,124,49,131,63,97,218,250,239,236,2069,250,1034,1,3319,6639,232,10,80,25.863,25.000
20,26,13,6,76,169,216,96,153,199,22,180,162,197,226,153,214,2108,226,1053,1,2869,5739,224,8,92,22.913,28.250
