Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,sum(W),max(W),T,GCD,circ_size,depth,num_wires_v2,max_fan,total_fan,sum(W)/total_fan,max(W)/max_fan
1,11,2,11,11,53,33,28,19,63,24,33,23,32,57,41,29,470,63,234,1,2658,226,5317,8,68,6.912,7.875
2,44,32,28,1,8,35,3,6,48,27,5,16,20,28,9,26,336,48,167,1,2225,214,4451,8,62,5.419,6.000
3,32,58,2,63,46,8,46,54,45,53,40,14,22,27,62,22,594,63,296,1,2892,226,5785,10,70,8.486,6.300
4,11,58,30,18,6,9,51,55,17,41,13,1,38,22,1,20,391,58,195,1,2582,224,5165,6,64,6.109,9.667
5,28,19,29,4,10,11,21,43,11,52,46,60,49,24,25,13,445,60,222,1,2669,224,5339,8,76,5.855,7.500
6,26,3,4,50,36,14,28,35,62,54,63,47,12,51,37,47,569,63,284,1,2844,226,5689,8,72,7.903,7.875
7,13,45,35,60,35,24,3,8,37,12,8,60,44,50,15,20,469,60,234,1,2633,222,5267,8,74,6.338,7.500
8,38,8,4,43,43,47,20,36,6,49,5,46,63,61,60,27,556,63,277,1,2810,224,5621,8,68,8.176,7.875
9,20,37,7,12,60,12,28,61,10,40,10,18,38,10,27,63,453,63,226,1,2749,232,5499,6,66,6.864,10.500
10,36,50,47,5,39,7,45,45,42,27,13,2,46,18,2,52,476,52,237,1,2624,222,5249,8,64,7.438,6.500
11,14,26,28,26,31,63,2,62,53,11,17,38,53,10,33,51,518,63,258,1,2880,226,5761,8,70,7.400,7.875
12,56,14,25,38,5,48,7,4,39,61,2,58,62,12,59,31,521,62,260,1,2795,224,5591,8,70,7.443,7.750
13,47,48,59,38,42,27,17,24,61,8,21,61,16,41,45,36,591,61,295,1,2783,224,5567,8,68,8.691,7.625
14,12,51,33,4,36,25,42,17,2,2,5,46,10,20,7,1,313,51,156,1,2162,212,4325,8,62,5.048,6.375
15,40,22,45,35,34,5,5,46,24,36,12,28,9,12,47,38,438,47,218,1,2555,226,5111,6,66,6.636,7.833
16,14,23,24,16,44,28,36,40,17,15,52,26,4,4,38,61,442,61,220,1,2617,226,5235,8,68,6.500,7.625
17,46,33,26,26,4,47,24,2,33,4,55,19,45,29,58,18,469,58,234,1,2586,216,5173,10,62,7.565,5.800
18,57,38,61,54,11,33,54,9,43,6,48,7,56,63,14,14,568,63,283,1,2849,222,5699,8,78,7.282,7.875
19,27,40,20,19,53,35,35,27,57,6,46,56,4,32,44,50,551,57,275,1,2593,220,5187,6,70,7.871,9.500
20,20,34,48,9,29,27,8,31,9,8,31,25,28,9,1,34,351,48,175,1,2337,222,4675,8,64,5.484,6.000
