Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,sum(W),max(W),T,GCD,circ_size,depth,num_wires_v2,max_fan,total_fan,sum(W) / total_fan,Max(W) / max_fan,(sum(W)) - (total_fan+num_wires)
1,8,510,307405,4,380012,4,1,1036,64,15,12,491532,113,3,1,14,1180734,491532,590366,1,4727,232,9455,222,507,2328.864,2214.108,1170772.000
2,144,6,1,3,2701,2290,1,1,1143,356,20,1,1,1,2,15,6686,2701,3342,1,2247,224,4495,36,96,69.646,75.028,2095.000
3,153,1,4,1,3,246,27,6,1,1,1,27,112,26,15,131,755,246,377,1,2296,228,4593,10,74,10.203,24.600,-3912.000
4,90,127,4,26,62,2,2,1,2,22,1,24,1,1,2,3,370,127,184,1,2156,220,4313,8,52,7.115,15.875,-3995.000
5,5309,12,690,5,1,4185,2,1,3,1,5,954,4,7378,15,33,18598,7378,9298,1,3597,224,7195,329,407,45.695,22.426,10996.000
6,3,1,105,10,20705,15807,5932,1,5,660,5,2,75,428,28,21,43788,20705,21893,1,3713,224,7427,19,95,460.926,1089.737,36266.000
7,41,673,1,2,614,1,2,4,1,4,1,11,6,1,457,30,1849,673,924,1,1753,220,3507,10,64,28.891,67.300,-1722.000
8,300,3,1,324,2,76,1,4,2,1,1,41,1,2,1,2,762,324,380,1,1515,218,3031,6,46,16.565,54.000,-2315.000
9,2,37,2,7,48,10,3,3,1,3,83,2,4,1,26,5,237,83,118,1,1729,220,3459,8,54,4.389,10.375,-3276.000
10,3000,3,1,1076,3223,10,212,6,2,1,4,4,27,5314,1,87,12971,5314,6485,1,2805,226,5611,25,100,129.710,212.560,7260.000
11,3,8,59,2,1,9,2,172,588,52,8715,2243,5,9429,3,9,21300,9429,10649,1,2822,226,5645,15,83,256.627,628.600,15572.000
12,170,40,17,1,78,5,1,13,2,129,51,8,1,22,1,14,553,170,276,1,2076,214,4153,33,87,6.356,5.152,-3687.000
13,6,21,3,56,19,1,1,1,4,2,4,1,15,6,4,1,145,56,72,1,1806,216,3613,10,56,2.589,5.600,-3524.000
14,2,5,42,3,1,1,74,99,18,2,11,3,16,5,40,1,323,99,161,1,2042,228,4085,6,54,5.981,16.500,-3816.000
15,1,9086,1,5,463,1675,2,1,1,9587,1,21,1,6,3,2,20856,9587,10427,1,3215,230,6431,14,72,289.667,684.786,14353.000
16,1,2,14,3,1,273,302,534,78,1233,1,3,363,1,2618,3148,8575,3148,4287,1,3254,226,6509,12,90,95.278,262.333,1976.000
17,1,89,110,98220,31,361,59418,79393,1,1,2,8,46,27,1,24,237733,98220,118866,1,3868,224,7737,16,90,2641.478,6138.750,229906.000
18,3,45,412,1,228,2,3,2,318,14,2,1,1,1,787,1535,3355,1535,1677,1,3143,232,6287,12,68,49.338,127.917,-3000.000
19,1,13,1,2916,13,637,5,1,11,2,2681,2,98,1,1,9,6392,2916,3195,1,2999,230,5999,274,327,19.547,10.642,66.000
20,337,954,1167,900,61,8,74,3,13,3,1,2,2,1,3,147,3676,1167,1837,1,2926,232,5853,10,78,47.128,116.700,-2255.000
