Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,sum(W),max(W),T,GCD,circ_size,depth,wires_v2,max_fan,total_fan,sum(W) / total_fan,Max(W) / max_fan,(total_fan+num_wires) - (sum(W))
1,1,11,1,3,1,1,1,3,3,1,3,1,20,1,1,1,53,20,26,1,1534,224,3069,20,62,0.855,1.000,3078.000
2,1,2,2,1,13,2,2,1,1,1,1,1,1,1,1,1,32,13,15,1,1387,216,2775,3,33,0.970,4.333,2776.000
3,1,1,1,5,1,5,1,1,1,3,1,1,2,1,1,1,27,5,13,1,1457,228,2915,4,38,0.711,1.250,2926.000
4,2,1,1,3,1,1,1,1,8,1,2,1,2,1,1,1,28,8,13,1,1371,216,2743,4,32,0.875,2.000,2747.000
5,1,1,1,1,1,8,1,1,1,1,1,2,2,3,1,1,27,8,13,1,1384,218,2769,4,32,0.844,2.000,2774.000
6,1,6,1,1,1,1,4,1,1,1,1,1,1,2,1,1,25,6,12,1,1378,220,2757,4,34,0.735,1.500,2766.000
7,1,1,1,1,1,1,1,19,1,1,18,10,1,6,2,1,66,19,32,1,1480,224,2961,6,40,1.650,3.167,2935.000
8,2,1,1,1,1,1,1,4,10,1,4,1,1,2,1,1,33,10,16,1,1352,216,2705,4,34,0.971,2.500,2706.000
9,1,2,1,9,1,2,9,1,1,1,1,1,1,1,11,5,48,11,23,1,1399,224,2799,6,43,1.116,1.833,2794.000
10,1,1,4,1,1,2,1,2,1,2,2,1,1,2,2,1,25,4,12,1,1380,210,2761,17,47,0.532,0.235,2783.000
11,1,7,3,1,3,1,1,14,1,1,1,2,1,1,1,3,42,14,20,1,1547,224,3095,9,49,0.857,1.556,3102.000
12,12,1,1,1,2,1,1,1,4,1,1,2,2,1,2,1,34,12,16,1,1376,214,2753,4,34,1.000,3.000,2753.000
13,1,1,1,1,1,5,1,1,1,2,1,1,1,2,2,4,26,5,12,1,1400,220,2801,4,34,0.765,1.250,2809.000
14,1,1,2,3,3,1,2,1,2,1,1,1,1,1,1,2,24,3,11,1,1443,216,2887,4,36,0.667,0.750,2899.000
15,1,2,1,1,1,6,1,3,1,7,2,1,1,1,1,2,32,7,15,1,1487,220,2975,5,38,0.842,1.400,2981.000
16,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,4,30,10,14,1,1388,218,2777,4,34,0.882,2.500,2781.000
17,4,1,2,1,2,1,2,2,1,2,1,1,7,1,1,1,30,7,14,1,1443,216,2887,5,34,0.882,1.400,2891.000
18,1,1,12,1,1,1,2,2,1,1,1,1,1,1,4,7,38,12,18,1,1407,220,2815,8,42,0.905,1.500,2819.000
19,3,1,1,1,2,1,1,2,1,4,1,2,1,18,1,1,41,18,20,1,1404,216,2809,17,50,0.820,1.059,2818.000
20,4,1,1,2,1,1,1,1,9,1,1,1,4,1,1,1,31,9,15,1,1384,222,2769,7,39,0.795,1.286,2777.000
